+----+---------------------------------------------------------+---------------------------------------------------------------------------+------------------------+
|    | x                                                       | p                                                                         | error                  |
|----+---------------------------------------------------------+---------------------------------------------------------------------------+------------------------|
|  0 | [0. 0. 0. 0. 0. 0.]                                     | ---                                                                       | ---                    |
|  1 | [0. 0. 0. 0. 0. 0.]                                     | [ 0.  5.  0.  6. -2.  6.]                                                 | 1.0                    |
|  2 | [ 0.       1.06992  0.       1.2839  -0.42797  1.2839 ] | [2.35381 0.29237 2.35381 0.43644 3.34958 0.43644]                         | 0.7059391607749814     |
|  3 | [0.70143 1.15704 0.70143 1.41396 0.5702  1.41396]       | [-0.23473  2.3449  -0.23473  1.61581 -0.29585  1.61581]                   | 0.286642367075886      |
|  4 | [0.65087 1.6621  0.65087 1.76198 0.50648 1.76198]       | [0.82058 0.15983 0.82058 0.10944 1.16014 0.10944]                         | 0.19256014645439565    |
|  5 | [0.8953  1.70971 0.8953  1.79458 0.85204 1.79458]       | [-0.0769   0.80381 -0.0769   0.56903 -0.10931  0.56903]                   | 0.09030684535249994    |
|  6 | [0.87873 1.88284 0.87873 1.91714 0.8285  1.91714]       | [0.28505 0.05461 0.28505 0.03867 0.40312 0.03867]                         | 0.06225883717627162    |
|  7 | [0.96364 1.8991  0.96364 1.92866 0.94857 1.92866]       | [-0.02679  0.27943 -0.02679  0.19758 -0.03788  0.19758]                   | 0.0305326558491023     |
|  8 | [0.95787 1.95929 0.95787 1.97121 0.94042 1.97121]       | [0.09903 0.01899 0.09903 0.01343 0.14005 0.01343]                         | 0.02112038704204882    |
|  9 | [0.98737 1.96495 0.98737 1.97521 0.98213 1.97521]       | [-0.00931  0.09708 -0.00931  0.06865 -0.01316  0.06865]                   | 0.010507429055234826   |
| 10 | [0.98536 1.98586 0.98536 1.99    0.9793  1.99   ]       | [0.03441 0.0066  0.03441 0.00466 0.04866 0.00466]                         | 0.007278176519763174   |
| 11 | [0.99561 1.98782 0.99561 1.99139 0.99379 1.99139]       | [-0.00323  0.03373 -0.00323  0.02385 -0.00457  0.02385]                   | 0.00363862702201489    |
| 12 | [0.99491 1.99509 0.99491 1.99653 0.99281 1.99653]       | [0.01195 0.00229 0.01195 0.00162 0.01691 0.00162]                         | 0.002521513247760862   |
| 13 | [0.99848 1.99577 0.99848 1.99701 0.99784 1.99701]       | [-0.00112  0.01172 -0.00112  0.00829 -0.00159  0.00829]                   | 0.0012627200686393357  |
| 14 | [0.99823 1.99829 0.99823 1.99879 0.9975  1.99879]       | [0.00415 0.0008  0.00415 0.00056 0.00587 0.00056]                         | 0.000875184003108324   |
| 15 | [0.99947 1.99853 0.99947 1.99896 0.99925 1.99896]       | [-0.00039  0.00407 -0.00039  0.00288 -0.00055  0.00288]                   | 0.00043852913823401386 |
| 16 | [0.99939 1.99941 0.99939 1.99958 0.99913 1.99958]       | [0.00144 0.00028 0.00144 0.0002  0.00204 0.0002 ]                         | 0.0003039586626169611  |
| 17 | [0.99982 1.99949 0.99982 1.99964 0.99974 1.99964]       | [-0.00014  0.00141 -0.00014  0.001   -0.00019  0.001  ]                   | 0.00015233563802482134 |
| 18 | [0.99979 1.99979 0.99979 1.99985 0.9997  1.99985]       | [5.01297e-04 9.61095e-05 5.01297e-04 6.79596e-05 7.08941e-04 6.79596e-05] | 0.00010559074253949929 |
| 19 | [0.99994 1.99982 0.99994 1.99987 0.99991 1.99987]       | [-4.71064e-05  4.91404e-04 -4.71064e-05  3.47475e-04 -6.66185e-05         | 5.2922867327562756e-05 |
|    |                                                         |   3.47475e-04]                                                            |                        |
+----+---------------------------------------------------------+---------------------------------------------------------------------------+------------------------+
